"","site","chill","photo","force","indiv","flask","species"
"70","sm","HC","HP","HF","b","25","poptre"
"71","sm","HC","HP","HF","cl","25","rubpar"
"72","sm","HC","HP","HF","12","26","menfer"
"73","sm","HC","HP","HF","11","26","menfer"
"74","sm","HC","HP","HF",NA,"26","rubpar"
"75","sm","HC","HP","HF","7","26","shecan"
"76","sm","HC","HP","HF","15","27","acegla"
"77","sm","HC","HP","HF","b","27","betpap"
"78","sm","HC","HP","HF","6","27","sorsco"
"79","sm","HC","HP","HF","oct_21","27","vacmem"
"80","sm","HC","HP","HF","8","28","popbal"
"81","sm","HC","HP","HF","9","28","riblac"
"82","sm","HC","HP","HF","3","28","vibedu"
"83","sm","HC","HP","HF","oct_21","28","vacmem"
"84","sm","HC","HP","HF","12","28","shecan"
"85","sm","HC","HP","HF","6","29","alnvir"
"86","sm","HC","HP","HF","3","29","riblac"
"87","sm","HC","HP","HF","b","29","spipyr"
"88","sm","HC","HP","HF","12","29","sorsco"
"89","sm","HC","HP","HF",NA,"3","alnvir"
"90","sm","HC","HP","HF",NA,"3","alnvir"
"91","sm","HC","HP","HF",NA,"3","popbal"
"92","sm","HC","HP","HF",NA,"3","sorsco"
"93","sm","HC","HP","HF","4","30","alninc"
"94","sm","HC","HP","HF","19","30","alnvir"
"95","sm","HC","HP","HF","11","30","corsto"
"96","sm","HC","HP","HF","11","30","vibedu"
"97","sm","HC","HP","HF","7","31","acegla"
"98","sm","HC","HP","HF","2","31","alninc"
"99","sm","HC","HP","HF","10","31","riblac"
"100","sm","HC","HP","HF","12","31","riblac"
"101","sm","HC","HP","HF","10","32","loninv"
"102","sm","HC","HP","HF",NA,"32","spipyr"
"103","sm","HC","HP","HF",NA,"32","sorsco"
"104","sm","HC","HP","HF","oct_21","32","vacmem"
"105","sm","HC","HP","HF","b","33","corsto"
"106","sm","HC","HP","HF","b","33","poptre"
"107","sm","HC","HP","HF","a","33","spibet"
"108","sm","HC","HP","HF","b","33","spipyr"
"109","sm","HC","HP","HF","6","33","shecan"
"110","sm","HC","HP","HF","7","34","amealn"
"111","sm","HC","HP","HF","10","34","corsto"
